61068141ILOgle                     Rochelle                    0.0625000.0000000.0075000.0000000.0000000.000000
61068141ILOgle                     Flag Center                 0.0625000.0000000.0075000.0000000.0000000.000000
61068141ILOgle                     Flagg                       0.0625000.0000000.0075000.0000000.0000000.000000
61068141ILOgle                     Hillcrest                   0.0625000.0000000.0075000.0000000.0000000.000000
61068141ILOgle                     Kings                       0.0625000.0000000.0075000.0000000.0000000.000000
61070177ILStephenson               Rock City                   0.0625000.0050000.0000000.0000000.0000000.000000
61070177ILStephenson               Rock Grove                  0.0625000.0050000.0000000.0000000.0000000.000000
61071195ILWhiteside                Rock Falls                  0.0625000.0000000.0050000.0000000.0000000.000000
61071195ILWhiteside                Yeoward Addition            0.0625000.0000000.0050000.0000000.0000000.000000
61071195ILWhiteside                Yeowardville                0.0625000.0000000.0050000.0000000.0000000.000000
61072201ILWinnebago                Rockton                     0.0625000.0100000.0000000.0000000.0000000.000000
61073201ILWinnebago                Roscoe                      0.0625000.0100000.0000000.0000000.0000000.000000
61074015ILCarroll                  Savanna                     0.0625000.0025000.0000000.0000000.0000000.000000
61074015ILCarroll                  Savanna Army Depot          0.0625000.0025000.0000000.0000000.0000000.000000
61075085ILJo Daviess               Scales Mound                0.0625000.0050000.0000000.0000000.0000000.000000
61077201ILWinnebago                Seward                      0.0625000.0100000.0000000.0000000.0000000.000000
61078015ILCarroll                  Shannon                     0.0625000.0025000.0000000.0000000.0000000.000000
61079201ILWinnebago                Shirland                    0.0625000.0100000.0000000.0000000.0000000.000000
61080201ILWinnebago                South Beloit                0.0625000.0100000.0000000.0000000.0000000.000000
61080201ILWinnebago                Beloit                      0.0625000.0100000.0000000.0000000.0000000.000000
61081195ILWhiteside                Sterling                    0.0625000.0000000.0050000.0000000.0000000.000000
61081195ILWhiteside                Coleta                      0.0625000.0000000.0050000.0000000.0000000.000000
61084141ILOgle                     Stillman Valley             0.0625000.0000000.0000000.0000000.0000000.000000
61085085ILJo Daviess               Stockton                    0.0625000.0050000.0000000.0000000.0000000.000000
61085085ILJo Daviess               Woodbine                    0.0625000.0050000.0000000.0000000.0000000.000000
61087085ILJo Daviess               Warren                      0.0625000.0050000.0000000.0000000.0000000.000000
61088201ILWinnebago                Winnebago                   0.0625000.0100000.0000000.0000000.0000000.000000
61089177ILStephenson               Winslow                     0.0625000.0050000.0000000.0000000.0000000.000000
61091141ILOgle                     Woosung                     0.0625000.0000000.0000000.0000000.0000000.000000
61101201ILWinnebago                Rockford                    0.0625000.0100000.0100000.0000000.0000000.000000
61102201ILWinnebago                Rockford                    0.0625000.0100000.0100000.0000000.0000000.000000
61103201ILWinnebago                Rockford                    0.0625000.0100000.0100000.0000000.0000000.000000
61103201ILWinnebago                Machesney Park              0.0625000.0100000.0100000.0000000.0000000.000000
61104201ILWinnebago                Rockford                    0.0625000.0100000.0100000.0000000.0000000.000000
61105201ILWinnebago                Rockford                    0.0625000.0100000.0100000.0000000.0000000.000000
61106201ILWinnebago                Rockford                    0.0625000.0100000.0100000.0000000.0000000.000000
61107201ILWinnebago                Rockford                    0.0625000.0100000.0100000.0000000.0000000.000000
61108201ILWinnebago                Rockford                    0.0625000.0100000.0100000.0000000.0000000.000000
61109201ILWinnebago                Rockford                    0.0625000.0100000.0100000.0000000.0000000.000000
61109201ILWinnebago                Morristown                  0.0625000.0100000.0100000.0000000.0000000.000000
61109201ILWinnebago                New Milford                 0.0625000.0100000.0100000.0000000.0000000.000000
61110201ILWinnebago                Rockford                    0.0625000.0100000.0100000.0000000.0000000.000000
61111201ILWinnebago                Loves Park                  0.0625000.0100000.0000000.0000000.0000000.000000
61111201ILWinnebago                Machesney Park              0.0625000.0100000.0100000.0000000.0000000.000000
61112201ILWinnebago                Rockford                    0.0625000.0100000.0100000.0000000.0000000.000000
61114201ILWinnebago                Rockford                    0.0625000.0100000.0100000.0000000.0000000.000000
61115201ILWinnebago                Machesney Park              0.0625000.0100000.0100000.0000000.0000000.000000
61115201ILWinnebago                Loves Park                  0.0625000.0100000.0000000.0000000.0000000.000000
61125201ILWinnebago                Rockford                    0.0625000.0100000.0100000.0000000.0000000.000000
61126201ILWinnebago                Rockford                    0.0625000.0100000.0100000.0000000.0000000.000000
61130201ILWinnebago                Loves Park                  0.0625000.0100000.0000000.0000000.0000000.000000
61131201ILWinnebago                Loves Park                  0.0625000.0100000.0000000.0000000.0000000.000000
61132201ILWinnebago                Loves Park                  0.0625000.0100000.0000000.0000000.0000000.000000
61201161ILRock Island              Rock Island                 0.0625000.0000000.0125000.0000000.0000000.000000
61204161ILRock Island              Rock Island                 0.0625000.0000000.0125000.0000000.0000000.000000
61230195ILWhiteside                Albany                      0.0625000.0000000.0000000.0000000.0000000.000000
61230195ILWhiteside                Ceffco                      0.0625000.0000000.0000000.0000000.0000000.000000
61231131ILMercer                   Aledo                       0.0625000.0000000.0000000.0000000.0000000.000000
61231131ILMercer                   Hamlet                      0.0625000.0000000.0000000.0000000.0000000.000000
61231131ILMercer                   Mercer                      0.0625000.0000000.0000000.0000000.0000000.000000
61231131ILMercer                   Ohio Grove                  0.0625000.0000000.0000000.0000000.0000000.000000
61231131ILMercer                   Old Gilchrist               0.0625000.0000000.0000000.0000000.0000000.000000
61231131ILMercer                   Shale City                  0.0625000.0000000.0000000.0000000.0000000.000000
61231131ILMercer                   Sunbeam                     0.0625000.0000000.0000000.0000000.0000000.000000
61231131ILMercer                   Wanlock                     0.0625000.0000000.0000000.0000000.0000000.000000
61232161ILRock Island              Andalusia                   0.0625000.0000000.0000000.0000000.0000000.000000
61233073ILHenry                    Andover                     0.0625000.0000000.0000000.0000000.0000000.000000
61234073ILHenry                    Annawan                     0.0625000.0000000.0000000.0000000.0000000.000000
61235073ILHenry                    Atkinson                    0.0625000.0000000.0000000.0000000.0000000.000000
61235073ILHenry                    Alba                        0.0625000.0000000.0000000.0000000.0000000.000000
61235073ILHenry                    Cornwall                    0.0625000.0000000.0000000.0000000.0000000.000000
61236161ILRock Island              Barstow                     0.0625000.0000000.0000000.0000000.0000000.000000
61237161ILRock Island              Buffalo Prairie             0.0625000.0000000.0000000.0000000.0000000.000000
61238073ILHenry                    Cambridge                   0.0625000.0000000.0000000.0000000.0000000.000000
61238073ILHenry                    Munson                      0.0625000.0000000.0000000.0000000.0000000.000000
61238073ILHenry                    Ulah                        0.0625000.0000000.0000000.0000000.0000000.000000
61238073ILHenry                    Weller                      0.0625000.0000000.0000000.0000000.0000000.000000
61239161ILRock Island              Carbon Cliff                0.0625000.0000000.0050000.0000000.0000000.000000
61240161ILRock Island              Coal Valley                 0.0625000.0000000.0000000.0000000.0000000.000000
61241073ILHenry                    Colona                      0.0625000.0000000.0050000.0000000.0000000.000000
61241073ILHenry                    Cleveland                   0.0625000.0000000.0050000.0000000.0000000.000000
61241073ILHenry                    Green Rock                  0.0625000.0000000.0050000.0000000.0000000.000000
61242161ILRock Island              Cordova                     0.0625000.0000000.0000000.0000000.0000000.000000
61243195ILWhiteside                Deer Grove                  0.0625000.0000000.0000000.0000000.0000000.000000
61244161ILRock Island              East Moline                 0.0625000.0000000.0050000.0000000.0000000.000000
61244161ILRock Island              Babcock                     0.0625000.0000000.0050000.0000000.0000000.000000
61244161ILRock Island              Campbells Island            0.0625000.0000000.0050000.0000000.0000000.000000
61244161ILRock Island              Meersman                    0.0625000.0000000.0050000.0000000.0000000.000000
61244161ILRock Island              Merry Oaks                  0.0625000.0000000.0050000.0000000.0000000.000000
61244161ILRock Island              South Moline                0.0625000.0000000.0050000.0000000.0000000.000000
61244161ILRock Island              Watertown                   0.0625000.0000000.0050000.0000000.0000000.000000
61244161ILRock Island              Whites Addition             0.0625000.0000000.0050000.0000000.0000000.000000
61250195ILWhiteside                Erie                        0.0625000.0000000.0000000.0000000.0000000.000000
61251195ILWhiteside                Fenton                      0.0625000.0000000.0000000.0000000.0000000.000000
61252195ILWhiteside                Fulton                      0.0625000.0000000.0000000.0000000.0000000.000000
61252195ILWhiteside                East Clinton                0.0625000.0000000.0000000.0000000.0000000.000000
61252195ILWhiteside                East Fulton                 0.0625000.0000000.0000000.0000000.0000000.000000
61252195ILWhiteside                Garden Plain                0.0625000.0000000.0000000.0000000.0000000.000000
61254073ILHenry                    Geneseo                     0.0625000.0000000.0050000.0000000.0000000.000000
61254073ILHenry                    Hanna                       0.0625000.0000000.0050000.0000000.0000000.000000
